unsure_mode	pass_frac	qa_type	model	n	accuracy
exclude	0.5	1	gpt55	343	0.5743440233236151
exclude	0.5	1	gemini31pro	343	0.597667638483965
exclude	0.5	1	gemini31flashlite	343	0.4314868804664723
exclude	0.5	1	gpt54mini	343	0.6034985422740525
exclude	0.5	2	gpt55	448	0.5401785714285714
exclude	0.5	2	gemini31pro	448	0.5825892857142857
exclude	0.5	2	gemini31flashlite	448	0.4174107142857143
exclude	0.5	2	gpt54mini	448	0.6138392857142857
exclude	0.5	3	gpt55	478	0.5167364016736402
exclude	0.5	3	gemini31pro	478	0.41631799163179917
exclude	0.5	3	gemini31flashlite	478	0.20920502092050208
exclude	0.5	3	gpt54mini	478	0.4476987447698745
exclude	0.55	1	gpt55	335	0.5701492537313433
exclude	0.55	1	gemini31pro	335	0.6059701492537314
exclude	0.55	1	gemini31flashlite	335	0.43582089552238806
exclude	0.55	1	gpt54mini	335	0.6059701492537314
exclude	0.55	2	gpt55	444	0.545045045045045
exclude	0.55	2	gemini31pro	444	0.5833333333333334
exclude	0.55	2	gemini31flashlite	444	0.4189189189189189
exclude	0.55	2	gpt54mini	444	0.6171171171171171
exclude	0.55	3	gpt55	474	0.5210970464135021
exclude	0.55	3	gemini31pro	474	0.4177215189873418
exclude	0.55	3	gemini31flashlite	474	0.2109704641350211
exclude	0.55	3	gpt54mini	474	0.45147679324894513
exclude	0.6	1	gpt55	335	0.5701492537313433
exclude	0.6	1	gemini31pro	335	0.6059701492537314
exclude	0.6	1	gemini31flashlite	335	0.43582089552238806
exclude	0.6	1	gpt54mini	335	0.6059701492537314
exclude	0.6	2	gpt55	427	0.5456674473067916
exclude	0.6	2	gemini31pro	427	0.5878220140515222
exclude	0.6	2	gemini31flashlite	427	0.4168618266978923
exclude	0.6	2	gpt54mini	427	0.629976580796253
exclude	0.6	3	gpt55	445	0.5303370786516854
exclude	0.6	3	gemini31pro	445	0.4247191011235955
exclude	0.6	3	gemini31flashlite	445	0.20898876404494382
exclude	0.6	3	gpt54mini	445	0.451685393258427
exclude	0.65	1	gpt55	311	0.5819935691318328
exclude	0.65	1	gemini31pro	311	0.617363344051447
exclude	0.65	1	gemini31flashlite	311	0.4437299035369775
exclude	0.65	1	gpt54mini	311	0.6205787781350482
exclude	0.65	2	gpt55	420	0.55
exclude	0.65	2	gemini31pro	420	0.5952380952380952
exclude	0.65	2	gemini31flashlite	420	0.41904761904761906
exclude	0.65	2	gpt54mini	420	0.6309523809523809
exclude	0.65	3	gpt55	435	0.5287356321839081
exclude	0.65	3	gemini31pro	435	0.42528735632183906
exclude	0.65	3	gemini31flashlite	435	0.21149425287356322
exclude	0.65	3	gpt54mini	435	0.4482758620689655
exclude	0.7	1	gpt55	311	0.5819935691318328
exclude	0.7	1	gemini31pro	311	0.617363344051447
exclude	0.7	1	gemini31flashlite	311	0.4437299035369775
exclude	0.7	1	gpt54mini	311	0.6205787781350482
exclude	0.7	2	gpt55	363	0.5316804407713499
exclude	0.7	2	gemini31pro	363	0.5922865013774105
exclude	0.7	2	gemini31flashlite	363	0.41046831955922863
exclude	0.7	2	gpt54mini	363	0.6198347107438017
exclude	0.7	3	gpt55	367	0.555858310626703
exclude	0.7	3	gemini31pro	367	0.44959128065395093
exclude	0.7	3	gemini31flashlite	367	0.22615803814713897
exclude	0.7	3	gpt54mini	367	0.4659400544959128
exclude	0.75	1	gpt55	306	0.5849673202614379
exclude	0.75	1	gemini31pro	306	0.6209150326797386
exclude	0.75	1	gemini31flashlite	306	0.4477124183006536
exclude	0.75	1	gpt54mini	306	0.6176470588235294
exclude	0.75	2	gpt55	363	0.5316804407713499
exclude	0.75	2	gemini31pro	363	0.5922865013774105
exclude	0.75	2	gemini31flashlite	363	0.41046831955922863
exclude	0.75	2	gpt54mini	363	0.6198347107438017
exclude	0.75	3	gpt55	332	0.5542168674698795
exclude	0.75	3	gemini31pro	332	0.45481927710843373
exclude	0.75	3	gemini31flashlite	332	0.21686746987951808
exclude	0.75	3	gpt54mini	332	0.4608433734939759
exclude	0.8	1	gpt55	225	0.5644444444444444
exclude	0.8	1	gemini31pro	225	0.64
exclude	0.8	1	gemini31flashlite	225	0.44
exclude	0.8	1	gpt54mini	225	0.6266666666666667
exclude	0.8	2	gpt55	265	0.5509433962264151
exclude	0.8	2	gemini31pro	265	0.6226415094339622
exclude	0.8	2	gemini31flashlite	265	0.4188679245283019
exclude	0.8	2	gpt54mini	265	0.6339622641509434
exclude	0.8	3	gpt55	271	0.5719557195571956
exclude	0.8	3	gemini31pro	271	0.47601476014760147
exclude	0.8	3	gemini31flashlite	271	0.22509225092250923
exclude	0.8	3	gpt54mini	271	0.4870848708487085
exclude	0.85	1	gpt55	225	0.5644444444444444
exclude	0.85	1	gemini31pro	225	0.64
exclude	0.85	1	gemini31flashlite	225	0.44
exclude	0.85	1	gpt54mini	225	0.6266666666666667
exclude	0.85	2	gpt55	265	0.5509433962264151
exclude	0.85	2	gemini31pro	265	0.6226415094339622
