unsure_mode	pass_frac	qa_type	n_reg_pass	n_reg_total	pass_rate
exclude	0.5	1	343	600	0.5716666666666667
exclude	0.5	2	448	664	0.6746987951807228
exclude	0.5	3	478	709	0.6741889985895627
exclude	0.55	1	335	600	0.5583333333333333
exclude	0.55	2	444	664	0.6686746987951807
exclude	0.55	3	474	709	0.6685472496473907
exclude	0.6	1	335	600	0.5583333333333333
exclude	0.6	2	427	664	0.6430722891566265
exclude	0.6	3	445	709	0.6276445698166432
exclude	0.65	1	311	600	0.5183333333333333
exclude	0.65	2	420	664	0.6325301204819277
exclude	0.65	3	435	709	0.613540197461213
exclude	0.7	1	311	600	0.5183333333333333
exclude	0.7	2	363	664	0.5466867469879518
exclude	0.7	3	367	709	0.5176304654442877
exclude	0.75	1	306	600	0.51
exclude	0.75	2	363	664	0.5466867469879518
exclude	0.75	3	332	709	0.4682651622002821
exclude	0.8	1	225	600	0.375
exclude	0.8	2	265	664	0.3990963855421687
exclude	0.8	3	271	709	0.382228490832158
exclude	0.85	1	225	600	0.375
exclude	0.85	2	265	664	0.3990963855421687
exclude	0.85	3	241	709	0.33991537376586745
exclude	0.9	1	84	600	0.14
exclude	0.9	2	63	664	0.09487951807228916
exclude	0.9	3	104	709	0.1466854724964739
exclude	0.95	1	84	600	0.14
exclude	0.95	2	63	664	0.09487951807228916
exclude	0.95	3	58	709	0.08180535966149506
exclude	1.0	1	84	600	0.14
exclude	1.0	2	63	664	0.09487951807228916
exclude	1.0	3	58	709	0.08180535966149506
zero	0.5	1	340	600	0.5666666666666667
zero	0.5	2	447	664	0.6731927710843374
zero	0.5	3	471	709	0.6643159379407616
zero	0.55	1	332	600	0.5533333333333333
zero	0.55	2	444	664	0.6686746987951807
zero	0.55	3	466	709	0.6572637517630465
zero	0.6	1	332	600	0.5533333333333333
zero	0.6	2	427	664	0.6430722891566265
zero	0.6	3	440	709	0.6205923836389281
zero	0.65	1	308	600	0.5133333333333333
zero	0.65	2	420	664	0.6325301204819277
zero	0.65	3	429	709	0.6050775740479548
zero	0.7	1	308	600	0.5133333333333333
zero	0.7	2	362	664	0.5451807228915663
zero	0.7	3	362	709	0.5105782792665726
zero	0.75	1	303	600	0.505
zero	0.75	2	362	664	0.5451807228915663
zero	0.75	3	331	709	0.46685472496473907
zero	0.8	1	225	600	0.375
zero	0.8	2	265	664	0.3990963855421687
zero	0.8	3	269	709	0.37940761636107195
zero	0.85	1	225	600	0.375
zero	0.85	2	265	664	0.3990963855421687
zero	0.85	3	238	709	0.33568406205923834
zero	0.9	1	84	600	0.14
zero	0.9	2	62	664	0.09337349397590361
zero	0.9	3	102	709	0.14386459802538787
zero	0.95	1	84	600	0.14
zero	0.95	2	62	664	0.09337349397590361
zero	0.95	3	57	709	0.08039492242595205
zero	1.0	1	84	600	0.14
zero	1.0	2	62	664	0.09337349397590361
zero	1.0	3	57	709	0.08039492242595205
half	0.5	1	343	600	0.5716666666666667
half	0.5	2	448	664	0.6746987951807228
half	0.5	3	478	709	0.6741889985895627
half	0.55	1	335	600	0.5583333333333333
half	0.55	2	444	664	0.6686746987951807
half	0.55	3	474	709	0.6685472496473907
half	0.6	1	335	600	0.5583333333333333
half	0.6	2	427	664	0.6430722891566265
half	0.6	3	445	709	0.6276445698166432
half	0.65	1	311	600	0.5183333333333333
half	0.65	2	420	664	0.6325301204819277
half	0.65	3	435	709	0.613540197461213
half	0.7	1	311	600	0.5183333333333333
half	0.7	2	363	664	0.5466867469879518
half	0.7	3	367	709	0.5176304654442877
half	0.75	1	306	600	0.51
half	0.75	2	363	664	0.5466867469879518
half	0.75	3	332	709	0.4682651622002821
half	0.8	1	225	600	0.375
half	0.8	2	265	664	0.3990963855421687
half	0.8	3	271	709	0.382228490832158
half	0.85	1	225	600	0.375
half	0.85	2	265	664	0.3990963855421687
half	0.85	3	241	709	0.33991537376586745
half	0.9	1	84	600	0.14
half	0.9	2	63	664	0.09487951807228916
half	0.9	3	104	709	0.1466854724964739
half	0.95	1	84	600	0.14
half	0.95	2	63	664	0.09487951807228916
half	0.95	3	58	709	0.08180535966149506
half	1.0	1	84	600	0.14
half	1.0	2	63	664	0.09487951807228916
half	1.0	3	58	709	0.08180535966149506
