unsure_mode	pass_frac	qa_type	n	acc_gem	acc_gpt	diff	b	c	mcnemar_p	cluster_diff_mean	cluster95_lo	cluster95_hi	leader_matches_pf75	holm_significant
exclude	0.5	1	343	0.597667638483965	0.5743440233236151	0.0233236151603498	63	55	0.5194908187566281	0.0231548315809864	-0.0402327834641757	0.0865945569642146	True	False
exclude	0.5	2	448	0.5825892857142857	0.5401785714285714	0.0424107142857143	82	63	0.1346854031809764	0.0423249777880194	-0.0093039594793311	0.0938982890632385	True	False
exclude	0.5	3	478	0.4163179916317991	0.5167364016736402	-0.100418410041841	64	112	0.000367130393764	-0.100485994468436	-0.1621052631578947	-0.0403392747072118	True	True
exclude	0.55	1	335	0.6059701492537314	0.5701492537313433	0.035820895522388	63	51	0.3028775526303249	0.0355867866746916	-0.0282160522880459	0.098219246031746	True	False
exclude	0.55	2	444	0.5833333333333334	0.545045045045045	0.0382882882882883	80	63	0.1807010858414857	0.0383947105642852	-0.0140853355426677	0.090110361741263	True	False
exclude	0.55	3	474	0.4177215189873418	0.5210970464135021	-0.1033755274261603	63	112	0.0002621681296867	-0.1029905616628709	-0.1633564904990694	-0.0430299285865053	True	True
exclude	0.6	1	335	0.6059701492537314	0.5701492537313433	0.035820895522388	63	51	0.3028775526303249	0.0365204413814057	-0.0263157894736841	0.0985118813825608	True	False
exclude	0.6	2	427	0.5878220140515222	0.5456674473067916	0.0421545667447306	79	61	0.1505276971716133	0.0419378367383024	-0.0120214134382566	0.0969976905311778	True	False
exclude	0.6	3	445	0.4247191011235955	0.5303370786516854	-0.1056179775280899	58	105	0.0002881495418529	-0.1058173200025668	-0.1670430185287539	-0.0446428571428571	True	True
exclude	0.65	1	311	0.617363344051447	0.5819935691318328	0.0353697749196142	58	47	0.3291371261661389	0.0350209745154179	-0.0299999999999999	0.1019736842105263	True	False
exclude	0.65	2	420	0.5952380952380952	0.55	0.0452380952380951	78	59	0.1237748250774765	0.0452749659652393	-0.0093023255813953	0.0999999999999999	True	False
exclude	0.65	3	435	0.425287356321839	0.5287356321839081	-0.103448275862069	57	102	0.0004473475174537	-0.1035189371660937	-0.1654850468680255	-0.0431818181818181	True	True
exclude	0.7	1	311	0.617363344051447	0.5819935691318328	0.0353697749196142	58	47	0.3291371261661389	0.0347256679220661	-0.0315482370323043	0.0996884735202492	True	False
exclude	0.7	2	363	0.5922865013774105	0.5316804407713499	0.0606060606060605	72	50	0.0568226889231751	0.0608892887493605	0.0026178010471205	0.1195675399479746	True	False
exclude	0.7	3	367	0.4495912806539509	0.555858310626703	-0.106267029972752	49	88	0.0010910236162357	-0.1060319827801241	-0.1731355790878012	-0.0399973404255319	True	True
exclude	0.75	1	306	0.6209150326797386	0.5849673202614379	0.0359477124183006	57	46	0.3244787802880658	0.0354095885479241	-0.0298013245033113	0.1009780212548942	True	False
exclude	0.75	2	363	0.5922865013774105	0.5316804407713499	0.0606060606060605	72	50	0.0568226889231751	0.0605963718164286	0.0026881720430107	0.1206920767144517	True	False
exclude	0.75	3	332	0.4548192771084337	0.5542168674698795	-0.0993975903614458	45	78	0.0037314457550981	-0.0996721383443541	-0.1661721068249258	-0.0349828801952674	True	True
exclude	0.8	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.0603700373399285	0.0755959771424632	0.0	0.150214592274678	True	False
exclude	0.8	2	265	0.6226415094339622	0.5509433962264151	0.0716981132075471	53	34	0.0530031130109622	0.0713070457522145	0.0	0.1405638177710843	True	False
exclude	0.8	3	271	0.4760147601476014	0.5719557195571956	-0.0959409594095941	36	62	0.0111745442147711	-0.0966102485697133	-0.1666666666666666	-0.0277753748558246	True	True
exclude	0.85	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.0603700373399285	0.074942027478581	0.0	0.1486486486486486	True	False
exclude	0.85	2	265	0.6226415094339622	0.5509433962264151	0.0716981132075471	53	34	0.0530031130109622	0.0720116080373273	0.003845785440613	0.1401515151515151	True	False
exclude	0.85	3	241	0.4854771784232365	0.5684647302904564	-0.0829875518672199	34	54	0.0422106116224041	-0.0825996085803529	-0.1592968034787916	-0.0043103448275861	True	False
exclude	0.9	1	84	0.6428571428571429	0.5476190476190477	0.0952380952380952	17	9	0.1686375439167022	0.0953706436119458	-0.0232558139534883	0.2117647058823529	True	False
exclude	0.9	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	2.7733198231272072e-05	-0.1429089026915113	0.1475409836065573	False	False
exclude	0.9	3	104	0.4423076923076923	0.5384615384615384	-0.0961538461538461	15	25	0.1538599441628321	-0.0958743436399162	-0.2105263157894736	0.0196078431372549	True	False
