unsure_mode	pass_frac	qa_type	n	acc_gem	acc_gpt	diff	b	c	mcnemar_p	cluster_diff_mean	cluster95_lo	cluster95_hi	leader_matches_pf75
exclude	0.5	1	343	0.597667638483965	0.5743440233236151	0.023323615160349864	63	55	0.5194908187566281	0.02315483158098645	-0.0402327834641757	0.08659455696421464	True
exclude	0.5	2	448	0.5825892857142857	0.5401785714285714	0.0424107142857143	82	63	0.13468540318097644	0.04232497778801944	-0.009303959479331162	0.0938982890632385	True
exclude	0.5	3	478	0.41631799163179917	0.5167364016736402	-0.10041841004184104	64	112	0.0003671303937640988	-0.100485994468436	-0.1621052631578947	-0.04033927470721183	True
exclude	0.55	1	335	0.6059701492537314	0.5701492537313433	0.035820895522388096	63	51	0.30287755263032495	0.03558678667469162	-0.02821605228804596	0.09821924603174605	True
exclude	0.55	2	444	0.5833333333333334	0.545045045045045	0.03828828828828834	80	63	0.18070108584148575	0.038394710564285256	-0.014085335542667754	0.09011036174126304	True
exclude	0.55	3	474	0.4177215189873418	0.5210970464135021	-0.1033755274261603	63	112	0.00026216812968672166	-0.10299056166287099	-0.1633564904990694	-0.04302992858650532	True
exclude	0.6	1	335	0.6059701492537314	0.5701492537313433	0.035820895522388096	63	51	0.30287755263032495	0.03652044138140575	-0.026315789473684185	0.09851188138256083	True
exclude	0.6	2	427	0.5878220140515222	0.5456674473067916	0.042154566744730615	79	61	0.1505276971716133	0.0419378367383024	-0.012021413438256613	0.0969976905311778	True
exclude	0.6	3	445	0.4247191011235955	0.5303370786516854	-0.10561797752808993	58	105	0.0002881495418529562	-0.10581732000256684	-0.16704301852875397	-0.04464285714285715	True
exclude	0.65	1	311	0.617363344051447	0.5819935691318328	0.03536977491961424	58	47	0.3291371261661389	0.0350209745154179	-0.02999999999999992	0.10197368421052633	True
exclude	0.65	2	420	0.5952380952380952	0.55	0.04523809523809519	78	59	0.12377482507747656	0.04527496596523937	-0.009302325581395321	0.09999999999999998	True
exclude	0.65	3	435	0.42528735632183906	0.5287356321839081	-0.103448275862069	57	102	0.00044734751745370376	-0.10351893716609373	-0.16548504686802556	-0.043181818181818155	True
exclude	0.7	1	311	0.617363344051447	0.5819935691318328	0.03536977491961424	58	47	0.3291371261661389	0.034725667922066134	-0.031548237032304347	0.09968847352024923	True
exclude	0.7	2	363	0.5922865013774105	0.5316804407713499	0.06060606060606055	72	50	0.05682268892317514	0.06088928874936057	0.0026178010471205023	0.11956753994797467	True
exclude	0.7	3	367	0.44959128065395093	0.555858310626703	-0.10626702997275206	49	88	0.0010910236162357514	-0.10603198278012417	-0.17313557908780122	-0.03999734042553199	True
exclude	0.75	1	306	0.6209150326797386	0.5849673202614379	0.03594771241830064	57	46	0.32447878028806587	0.035409588547924135	-0.0298013245033113	0.10097802125489425	True
exclude	0.75	2	363	0.5922865013774105	0.5316804407713499	0.06060606060606055	72	50	0.05682268892317514	0.06059637181642861	0.0026881720430107503	0.12069207671445174	True
